Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_StarGraph;Beta_AllEqual;Alpha_Reversed,19.544,17.757,23.187,16.733,14.239,16.476,21.593,30.662,16.642,22.639,EVOLVING,2000.0,212,74,286,286
18,Alpha_HashCollision;Gamma_LoadFactor;Beta_LineChain,39.902,44.823,42.16,27.869,55.053,32.135,36.308,42.976,24.604,38.882,EVOLVING,2000.0,213,77,290,5231
19,Alpha_StarGraph;Alpha_HashCollision;Delta_Extremist,43.783,44.823,42.16,30.189,55.053,32.135,36.308,42.976,24.604,40.786,EVOLVING,2000.0,220,76,296,5527
20,Alpha_StarGraph;Delta_Extremist;Beta_ModuloStep,43.783,50.168,42.16,33.939,55.053,32.135,36.308,42.976,24.604,47.828,EVOLVING,2000.0,214,82,296,5823
21,Gamma_Sawtooth;Beta_LineChain;Alpha_StarGraph,43.783,50.168,42.16,40.091,63.179,32.135,36.308,42.976,29.783,47.828,EVOLVING,2000.0,218,80,298,6121
22,Beta_LineChain;Delta_Extremist;Alpha_HashCollision,56.07,50.168,42.16,40.091,73.411,32.135,36.308,42.976,29.783,56.203,EVOLVING,2000.0,219,72,291,6412
23,Alpha_StarGraph;Beta_LineChain;Alpha_Reversed,56.07,50.168,42.16,47.065,91.567,32.135,44.433,42.976,29.783,56.203,EVOLVING,2000.0,219,72,291,6703
24,Alpha_StarGraph;Beta_LineChain;Gamma_Sawtooth,56.07,50.168,42.16,59.941,103.765,32.135,44.433,42.976,37.801,56.203,EVOLVING,2000.0,212,80,292,6995
25,Gamma_Disconnected;Gamma_Sawtooth;Alpha_Reversed,56.07,50.168,42.16,59.941,103.765,40.631,52.587,42.976,46.535,56.203,EVOLVING,2000.0,217,69,286,7281
26,Beta_ModuloStep;Gamma_LoadFactor;Gamma_Disconnected,56.07,58.499,50.668,59.941,103.765,46.614,52.587,42.976,46.535,56.203,EVOLVING,2000.0,216,69,285,7566
27,Beta_ModuloStep;Alpha_Reversed;Gamma_Disconnected,56.07,69.17,50.668,59.941,103.765,54.349,66.286,42.976,46.535,56.203,EVOLVING,2000.0,221,71,292,7858
28,Alpha_StarGraph;Delta_Extremist;Gamma_LoadFactor,56.07,69.17,61.13,76.045,103.765,54.349,66.286,42.976,46.535,69.292,EVOLVING,2000.0,225,77,302,8160
29,Alpha_StarGraph;Gamma_LoadFactor;Alpha_Reversed,56.07,69.17,76.024,84.003,103.765,54.349,86.099,42.976,46.535,69.292,EVOLVING,2000.0,211,74,285,8445
30,Gamma_Sawtooth;Alpha_HashCollision;Beta_ModuloStep,62.245,86.468,76.024,84.003,103.765,54.349,86.099,42.976,2313.87,69.292,TLE_ACHIEVED,2000.0,215,81,296,8741
